Frame,Emotion Scores
33,"{'disgust': np.float64(0.11326893746852876), 'fear': np.float64(0.0869868591427803), 'happy': np.float64(0.0014900436392053962), 'neutral': np.float64(0.12710028529167178), 'sad': np.float64(0.45899023890495305), 'surprise': np.float64(0.021847871877253056), 'anger': np.float64(0.013126569469459356)}"
34,"{'disgust': np.float64(0.09405219018459321), 'fear': np.float64(0.0947955670952797), 'happy': np.float64(0.0014070355100557208), 'neutral': np.float64(0.11969555735588075), 'sad': np.float64(0.4953876864910126), 'surprise': np.float64(0.02364940121769905), 'anger': np.float64(0.011576215545646848)}"
35,"{'disgust': np.float64(0.07864693343639374), 'fear': np.float64(0.10220009475946426), 'happy': np.float64(0.0013099679024890065), 'neutral': np.float64(0.09720113754272461), 'sad': np.float64(0.5732677492499352), 'surprise': np.float64(0.0230237003415823), 'anger': np.float64(0.01147591278422624)}"
36,"{'disgust': np.float64(0.08602425277233125), 'fear': np.float64(0.10886848032474516), 'happy': np.float64(0.0011513187433592974), 'neutral': np.float64(0.06160374581813812), 'sad': np.float64(0.6604826903343202), 'surprise': np.float64(0.02061748653650284), 'anger': np.float64(0.011656528171151878)}"
37,"{'disgust': np.float64(0.09732518196105958), 'fear': np.float64(0.09123514384031295), 'happy': np.float64(0.0011670305742882193), 'neutral': np.float64(0.060853483080863954), 'sad': np.float64(0.6642276906967164), 'surprise': np.float64(0.0202120803296566), 'anger': np.float64(0.011094829589128495)}"
38,"{'disgust': np.float64(0.10787283658981324), 'fear': np.float64(0.06693705707788467), 'happy': np.float64(0.001225883245933801), 'neutral': np.float64(0.08030392706394196), 'sad': np.float64(0.5971244961023331), 'surprise': np.float64(0.030021830648183822), 'anger': np.float64(0.010175452376715839)}"
39,"{'disgust': np.float64(0.10715482354164123), 'fear': np.float64(0.06573137730360032), 'happy': np.float64(0.0012315997038967908), 'neutral': np.float64(0.0759208405017853), 'sad': np.float64(0.5086421617865563), 'surprise': np.float64(0.07682237774133682), 'anger': np.float64(0.009201811254024505)}"
40,"{'disgust': np.float64(0.09721150517463685), 'fear': np.float64(0.07842208832502365), 'happy': np.float64(0.0012404614710249007), 'neutral': np.float64(0.07104179322719575), 'sad': np.float64(0.4158622246980667), 'surprise': np.float64(0.12622908987104892), 'anger': np.float64(0.007854625226464124)}"
41,"{'disgust': np.float64(0.0808618700504303), 'fear': np.float64(0.07687820971012116), 'happy': np.float64(0.0012635974213480949), 'neutral': np.float64(0.07806637167930604), 'sad': np.float64(0.3343255335092544), 'surprise': np.float64(0.16552864983677865), 'anger': np.float64(0.006741828338708729)}"
42,"{'disgust': np.float64(0.06822393596172334), 'fear': np.float64(0.07040848441421985), 'happy': np.float64(0.0012970505282282828), 'neutral': np.float64(0.10511773467063905), 'sad': np.float64(0.2875509780645371), 'surprise': np.float64(0.16366146877408028), 'anger': np.float64(0.0059674554341472685)}"
