Frame,Emotion Scores
194,"{'disgust': np.float64(0.006871660053730011), 'fear': np.float64(0.0014449106203392147), 'happy': np.float64(0.006220616400241852), 'neutral': np.float64(0.04665887594223023), 'sad': np.float64(0.9447378349304201), 'surprise': np.float64(0.0006269645702559501), 'anger': np.float64(0.0031353936111554507)}"
195,"{'disgust': np.float64(0.00944419488310814), 'fear': np.float64(0.0014042588928714394), 'happy': np.float64(0.006282571703195572), 'neutral': np.float64(0.054741010665893555), 'sad': np.float64(0.9186187410354616), 'surprise': np.float64(0.0006688482186291367), 'anger': np.float64(0.0035998792422469706)}"
196,"{'disgust': np.float64(0.010674692541360855), 'fear': np.float64(0.0013318784767761827), 'happy': np.float64(0.005031533678993583), 'neutral': np.float64(0.04910247534513474), 'sad': np.float64(0.9351627850532532), 'surprise': np.float64(0.0006535845284815877), 'anger': np.float64(0.003944301644805819)}"
197,"{'disgust': np.float64(0.012393727600574495), 'fear': np.float64(0.0012778643192723391), 'happy': np.float64(0.004323945799842477), 'neutral': np.float64(0.05668933242559433), 'sad': np.float64(0.9133797872066498), 'surprise': np.float64(0.0006855013372842223), 'anger': np.float64(0.004201993579044938)}"
198,"{'disgust': np.float64(0.016065247654914856), 'fear': np.float64(0.0012100442592054604), 'happy': np.float64(0.0051143544260412455), 'neutral': np.float64(0.1097139599919319), 'sad': np.float64(0.7604161381721497), 'surprise': np.float64(0.0008154713257681578), 'anger': np.float64(0.0045822008280083535)}"
199,"{'disgust': np.float64(0.019155287444591527), 'fear': np.float64(0.0013336793007329105), 'happy': np.float64(0.006913182372227311), 'neutral': np.float64(0.13172368317842484), 'sad': np.float64(0.6909392833709717), 'surprise': np.float64(0.0010140456026419998), 'anger': np.float64(0.005128080195281655)}"
200,"{'disgust': np.float64(0.017932958602905273), 'fear': np.float64(0.0011868046573363243), 'happy': np.float64(0.0070355501491576435), 'neutral': np.float64(0.18892494946718216), 'sad': np.float64(0.5349242611974478), 'surprise': np.float64(0.0012375992722809316), 'anger': np.float64(0.004468187770107762)}"
201,"{'disgust': np.float64(0.02101536422967911), 'fear': np.float64(0.001288278044667095), 'happy': np.float64(0.007541914284229278), 'neutral': np.float64(0.25262443780899047), 'sad': np.float64(0.3305292018130422), 'surprise': np.float64(0.012090245890431107), 'anger': np.float64(0.004187272508861497)}"
202,"{'disgust': np.float64(0.03010749638080597), 'fear': np.float64(0.005593575693201273), 'happy': np.float64(0.00746855502948165), 'neutral': np.float64(0.24170461356639864), 'sad': np.float64(0.19415056515485046), 'surprise': np.float64(0.08026439410168677), 'anger': np.float64(0.004576794625027105)}"
203,"{'disgust': np.float64(0.030119570195674898), 'fear': np.float64(0.010298238603863865), 'happy': np.float64(0.006143002165481448), 'neutral': np.float64(0.1851131547987461), 'sad': np.float64(0.152472350820899), 'surprise': np.float64(0.16938021378591656), 'anger': np.float64(0.0041172637627460065)}"
204,"{'disgust': np.float64(0.02935261636972427), 'fear': np.float64(0.01194677508668974), 'happy': np.float64(0.003964021010324359), 'neutral': np.float64(0.157757059186697), 'sad': np.float64(0.035732891215011484), 'surprise': np.float64(0.25873103938065467), 'anger': np.float64(0.003367845579050481)}"
205,"{'disgust': np.float64(0.03214259386062622), 'fear': np.float64(0.01779552273452282), 'happy': np.float64(0.002930661151185632), 'neutral': np.float64(0.08469420820474624), 'sad': np.float64(0.031093227891251445), 'surprise': np.float64(0.3490015111863613), 'anger': np.float64(0.00348981837159954)}"
206,"{'disgust': np.float64(0.03271708071231842), 'fear': np.float64(0.02390772633254528), 'happy': np.float64(0.002275949576869607), 'neutral': np.float64(0.019192069247365), 'sad': np.float64(0.031793889431282876), 'surprise': np.float64(0.4283224940299988), 'anger': np.float64(0.0034099013870581988)}"
207,"{'disgust': np.float64(0.028281726837158204), 'fear': np.float64(0.02201901867985725), 'happy': np.float64(0.002074890956282616), 'neutral': np.float64(0.014478460028767588), 'sad': np.float64(0.013576063448563219), 'surprise': np.float64(0.4463741958141327), 'anger': np.float64(0.0026737079618033024)}"
208,"{'disgust': np.float64(0.02554866135120392), 'fear': np.float64(0.020467527285218234), 'happy': np.float64(0.0017980173230171203), 'neutral': np.float64(0.013017594665288925), 'sad': np.float64(0.010177036696113645), 'surprise': np.float64(0.4524089813232422), 'anger': np.float64(0.0024740379315335305)}"
209,"{'disgust': np.float64(0.025222430825233462), 'fear': np.float64(0.019974608123302456), 'happy': np.float64(0.0016566131729632617), 'neutral': np.float64(0.011817578524351122), 'sad': np.float64(0.009446042790077627), 'surprise': np.float64(0.4548006057739258), 'anger': np.float64(0.002420391499763355)}"
210,"{'disgust': np.float64(0.024796361923217776), 'fear': np.float64(0.01675744749605656), 'happy': np.float64(0.0016797054791823029), 'neutral': np.float64(0.01336167097091675), 'sad': np.float64(0.00827064570505172), 'surprise': np.float64(0.45499646067619326), 'anger': np.float64(0.002370700683677569)}"
211,"{'disgust': np.float64(0.02376399487257004), 'fear': np.float64(0.011417528986930846), 'happy': np.float64(0.0018505780724808573), 'neutral': np.float64(0.02359642706811428), 'sad': np.float64(0.005919818240217865), 'surprise': np.float64(0.44597327709198), 'anger': np.float64(0.00235594998463057)}"
212,"{'disgust': np.float64(0.02690249353647232), 'fear': np.float64(0.009933238662779332), 'happy': np.float64(0.0021707836771383882), 'neutral': np.float64(0.044017915949225425), 'sad': np.float64(0.005728887929581106), 'surprise': np.float64(0.4188477873802185), 'anger': np.float64(0.0024930039048194886)}"
213,"{'disgust': np.float64(0.032618815004825594), 'fear': np.float64(0.008956866972148418), 'happy': np.float64(0.0024062634212896226), 'neutral': np.float64(0.05008248001337051), 'sad': np.float64(0.006867468412965536), 'surprise': np.float64(0.40730597376823424), 'anger': np.float64(0.0027547040360514077)}"
214,"{'disgust': np.float64(0.041774648725986484), 'fear': np.float64(0.01069237980991602), 'happy': np.float64(0.002554899617098272), 'neutral': np.float64(0.05710357666015625), 'sad': np.float64(0.010791655965149404), 'surprise': np.float64(0.3900615036487579), 'anger': np.float64(0.0033139919617678967)}"
215,"{'disgust': np.float64(0.052280683815479276), 'fear': np.float64(0.009661983847618103), 'happy': np.float64(0.0029702575877308844), 'neutral': np.float64(0.07580580830574035), 'sad': np.float64(0.01158863234333694), 'surprise': np.float64(0.35969060063362124), 'anger': np.float64(0.003801001700339839)}"
216,"{'disgust': np.float64(0.05153828263282776), 'fear': np.float64(0.010026312433183193), 'happy': np.float64(0.002909532398916781), 'neutral': np.float64(0.07174635708332061), 'sad': np.float64(0.012043754598125817), 'surprise': np.float64(0.3649294912815094), 'anger': np.float64(0.0038101037882734092)}"
217,"{'disgust': np.float64(0.045111574232578285), 'fear': np.float64(0.010510975420475004), 'happy': np.float64(0.0024451579665765166), 'neutral': np.float64(0.05484321534633637), 'sad': np.float64(0.011620643585920335), 'surprise': np.float64(0.3905620455741882), 'anger': np.float64(0.003610577860381454)}"
218,"{'disgust': np.float64(0.040238618850708015), 'fear': np.float64(0.009533145613968372), 'happy': np.float64(0.002450606762431562), 'neutral': np.float64(0.05316617250442505), 'sad': np.float64(0.010614370163530113), 'surprise': np.float64(0.39659342765808103), 'anger': np.float64(0.003423995812190697)}"
219,"{'disgust': np.float64(0.03097953975200653), 'fear': np.float64(0.0077862518280744555), 'happy': np.float64(0.002397896652109921), 'neutral': np.float64(0.04943758130073548), 'sad': np.float64(0.006987237120047213), 'surprise': np.float64(0.40954881310462954), 'anger': np.float64(0.002937662701588124)}"
220,"{'disgust': np.float64(0.017933948338031767), 'fear': np.float64(0.009248326756060124), 'happy': np.float64(0.0018639090470969678), 'neutral': np.float64(0.03068366318941117), 'sad': np.float64(0.0055497287586331375), 'surprise': np.float64(0.4418034255504608), 'anger': np.float64(0.002438446376472712)}"
221,"{'disgust': np.float64(0.01644351065158844), 'fear': np.float64(0.010148760527372359), 'happy': np.float64(0.0017279976280406117), 'neutral': np.float64(0.026778523921966557), 'sad': np.float64(0.00533342331647873), 'surprise': np.float64(0.4474919378757477), 'anger': np.float64(0.0023360867006704212)}"
222,"{'disgust': np.float64(0.014964758455753327), 'fear': np.float64(0.010674166157841683), 'happy': np.float64(0.001589625678025186), 'neutral': np.float64(0.022589064538478854), 'sad': np.float64(0.004666784843429923), 'surprise': np.float64(0.4538927793502808), 'anger': np.float64(0.0022286496264860038)}"
223,"{'disgust': np.float64(0.015909178555011748), 'fear': np.float64(0.011798740737140179), 'happy': np.float64(0.0015256556449458002), 'neutral': np.float64(0.022231799066066742), 'sad': np.float64(0.004898236133158207), 'surprise': np.float64(0.4532389223575592), 'anger': np.float64(0.002230911524966359)}"
224,"{'disgust': np.float64(0.01488858014345169), 'fear': np.float64(0.017328384965658188), 'happy': np.float64(0.0013057427480816842), 'neutral': np.float64(0.01763849273324013), 'sad': np.float64(0.004985047820955515), 'surprise': np.float64(0.4575005769729614), 'anger': np.float64(0.0021955110237468034)}"
225,"{'disgust': np.float64(0.021515239477157593), 'fear': np.float64(0.026978565752506255), 'happy': np.float64(0.0014506581239402295), 'neutral': np.float64(0.01768423065543175), 'sad': np.float64(0.009150945143774153), 'surprise': np.float64(0.4471803903579712), 'anger': np.float64(0.0025796014943625777)}"
226,"{'disgust': np.float64(0.027895608842372892), 'fear': np.float64(0.03621629923582077), 'happy': np.float64(0.001642642542719841), 'neutral': np.float64(0.019276342540979388), 'sad': np.float64(0.014163696374744178), 'surprise': np.float64(0.43482145071029665), 'anger': np.float64(0.0029608998144976793)}"
227,"{'disgust': np.float64(0.03332908540964126), 'fear': np.float64(0.039632561132311825), 'happy': np.float64(0.001704402221366763), 'neutral': np.float64(0.019948533326387408), 'sad': np.float64(0.016721043791621926), 'surprise': np.float64(0.4278915226459503), 'anger': np.float64(0.0032469319913070644)}"
228,"{'disgust': np.float64(0.04209599375724793), 'fear': np.float64(0.040090668126940725), 'happy': np.float64(0.001946662925183773), 'neutral': np.float64(0.037793243080377584), 'sad': np.float64(0.018919193884357813), 'surprise': np.float64(0.3986057221889496), 'anger': np.float64(0.0036703715054318313)}"
229,"{'disgust': np.float64(0.052235390543937686), 'fear': np.float64(0.042546576485037804), 'happy': np.float64(0.0022761822445318105), 'neutral': np.float64(0.0455625233054161), 'sad': np.float64(0.027228409033268695), 'surprise': np.float64(0.3773251473903656), 'anger': np.float64(0.004303540030959994)}"
230,"{'disgust': np.float64(0.05371866226196289), 'fear': np.float64(0.06980016611516475), 'happy': np.float64(0.002233981341123581), 'neutral': np.float64(0.0444747543334961), 'sad': np.float64(0.05655422357842327), 'surprise': np.float64(0.3530283272266388), 'anger': np.float64(0.00483740502037108)}"
231,"{'disgust': np.float64(0.05473181068897248), 'fear': np.float64(0.08137845776975154), 'happy': np.float64(0.002249765023589134), 'neutral': np.float64(0.044272481501102454), 'sad': np.float64(0.07072759592905642), 'surprise': np.float64(0.3413079857826233), 'anger': np.float64(0.0051935824309475714)}"
232,"{'disgust': np.float64(0.055289654135704046), 'fear': np.float64(0.15099091194570063), 'happy': np.float64(0.0021925643784925343), 'neutral': np.float64(0.04041160695254803), 'sad': np.float64(0.11615154249593615), 'surprise': np.float64(0.29603683650493623), 'anger': np.float64(0.006144394748844206)}"
233,"{'disgust': np.float64(0.05288160264492035), 'fear': np.float64(0.1703648042678833), 'happy': np.float64(0.00198997356928885), 'neutral': np.float64(0.020687965080142024), 'sad': np.float64(0.13132042698562146), 'surprise': np.float64(0.3073540061712265), 'anger': np.float64(0.006625534002669156)}"
234,"{'disgust': np.float64(0.04671650171279908), 'fear': np.float64(0.18502372920513152), 'happy': np.float64(0.001758907246403396), 'neutral': np.float64(0.012793440148234367), 'sad': np.float64(0.13271806776523593), 'surprise': np.float64(0.3145724147558212), 'anger': np.float64(0.006568634603172541)}"
235,"{'disgust': np.float64(0.04027677297592164), 'fear': np.float64(0.17333420455455778), 'happy': np.float64(0.0016598331974819302), 'neutral': np.float64(0.012841012552380562), 'sad': np.float64(0.10205119881778957), 'surprise': np.float64(0.3375288754701614), 'anger': np.float64(0.006060824247542769)}"
236,"{'disgust': np.float64(0.03495770663022996), 'fear': np.float64(0.16171126574277878), 'happy': np.float64(0.0014977395534515382), 'neutral': np.float64(0.011360696628689767), 'sad': np.float64(0.08598128847777843), 'surprise': np.float64(0.35508388578891753), 'anger': np.float64(0.005622460844460875)}"
237,"{'disgust': np.float64(0.03212886184453964), 'fear': np.float64(0.1307429775595665), 'happy': np.float64(0.0014934764243662358), 'neutral': np.float64(0.01190359488129616), 'sad': np.float64(0.048527514040470135), 'surprise': np.float64(0.3861962020397186), 'anger': np.float64(0.005059815293643624)}"
238,"{'disgust': np.float64(0.025922247767448427), 'fear': np.float64(0.11952621102333068), 'happy': np.float64(0.0013417221838608385), 'neutral': np.float64(0.011014783680438997), 'sad': np.float64(0.03368957333266735), 'surprise': np.float64(0.4028659284114838), 'anger': np.float64(0.004379926056135446)}"
239,"{'disgust': np.float64(0.025424425601959226), 'fear': np.float64(0.11835417687892913), 'happy': np.float64(0.0013156635919585823), 'neutral': np.float64(0.011371188461780549), 'sad': np.float64(0.02847934685647488), 'surprise': np.float64(0.4056367456912994), 'anger': np.float64(0.004240439573768527)}"
240,"{'disgust': np.float64(0.025717251896858216), 'fear': np.float64(0.09466684699058533), 'happy': np.float64(0.0013502930756658315), 'neutral': np.float64(0.016102141588926318), 'sad': np.float64(0.027182053886353967), 'surprise': np.float64(0.40999552607536316), 'anger': np.float64(0.00404998661018908)}"
241,"{'disgust': np.float64(0.024802270531654357), 'fear': np.float64(0.09194550722837448), 'happy': np.float64(0.001348832226358354), 'neutral': np.float64(0.017255283445119857), 'sad': np.float64(0.025860851574689148), 'surprise': np.float64(0.4108738362789154), 'anger': np.float64(0.003975762734189629)}"
242,"{'disgust': np.float64(0.023231440484523774), 'fear': np.float64(0.052269628643989555), 'happy': np.float64(0.001470574736595154), 'neutral': np.float64(0.02240607187151909), 'sad': np.float64(0.01628942867740989), 'surprise': np.float64(0.42626851201057436), 'anger': np.float64(0.0034123294020537293)}"
243,"{'disgust': np.float64(0.024915484189987184), 'fear': np.float64(0.047317790687084194), 'happy': np.float64(0.0015586834168061614), 'neutral': np.float64(0.024490433633327483), 'sad': np.float64(0.01420023345388472), 'surprise': np.float64(0.4255418837070465), 'anger': np.float64(0.003371698522241786)}"
244,"{'disgust': np.float64(0.022950921654701233), 'fear': np.float64(0.028404960036277772), 'happy': np.float64(0.0015586898196488618), 'neutral': np.float64(0.027838743627071384), 'sad': np.float64(0.01033104119822383), 'surprise': np.float64(0.4322879254817963), 'anger': np.float64(0.0029717281716875733)}"
245,"{'disgust': np.float64(0.02379880130290985), 'fear': np.float64(0.0313251069188118), 'happy': np.float64(0.001676185615360737), 'neutral': np.float64(0.025583001375198366), 'sad': np.float64(0.01115431994199753), 'surprise': np.float64(0.43288807272911073), 'anger': np.float64(0.0028549185965675863)}"
246,"{'disgust': np.float64(0.025488437712192537), 'fear': np.float64(0.028044320493936535), 'happy': np.float64(0.0018974226899445058), 'neutral': np.float64(0.026967630684375764), 'sad': np.float64(0.011447200309485197), 'surprise': np.float64(0.4311274766921997), 'anger': np.float64(0.002770678973756731)}"
247,"{'disgust': np.float64(0.0326187938451767), 'fear': np.float64(0.0303641277551651), 'happy': np.float64(0.0019390284549444913), 'neutral': np.float64(0.028980557024478916), 'sad': np.float64(0.018314486164599658), 'surprise': np.float64(0.4199847161769867), 'anger': np.float64(0.003021413249662146)}"
248,"{'disgust': np.float64(0.03457218706607819), 'fear': np.float64(0.026695883944630617), 'happy': np.float64(0.0023187151411548255), 'neutral': np.float64(0.04361532062292099), 'sad': np.float64(0.020217729108408095), 'surprise': np.float64(0.4007504522800446), 'anger': np.float64(0.0030435674835462122)}"
249,"{'disgust': np.float64(0.04230060458183289), 'fear': np.float64(0.028091113641858102), 'happy': np.float64(0.002729415404610336), 'neutral': np.float64(0.049645166695117954), 'sad': np.float64(0.02540600121021271), 'surprise': np.float64(0.38497225642204286), 'anger': np.float64(0.0034172779275104407)}"
250,"{'disgust': np.float64(0.04280220329761506), 'fear': np.float64(0.02313589833676815), 'happy': np.float64(0.00289513785392046), 'neutral': np.float64(0.05769320845603944), 'sad': np.float64(0.024386946074664594), 'surprise': np.float64(0.3769618272781372), 'anger': np.float64(0.0034113249438814824)}"
251,"{'disgust': np.float64(0.04248448610305787), 'fear': np.float64(0.02071166597306728), 'happy': np.float64(0.003014726610854268), 'neutral': np.float64(0.06060608804225922), 'sad': np.float64(0.023462922237813474), 'surprise': np.float64(0.3748335599899292), 'anger': np.float64(0.003388118434231728)}"
252,"{'disgust': np.float64(0.03428670674562455), 'fear': np.float64(0.01662385180592537), 'happy': np.float64(0.002973125362768769), 'neutral': np.float64(0.05917343318462372), 'sad': np.float64(0.016127659576013687), 'surprise': np.float64(0.386884605884552), 'anger': np.float64(0.0030313441518228504)}"
253,"{'disgust': np.float64(0.030885357260704044), 'fear': np.float64(0.025015354827046393), 'happy': np.float64(0.002579120500013232), 'neutral': np.float64(0.04228034228086472), 'sad': np.float64(0.015914898952469232), 'surprise': np.float64(0.40712825059890745), 'anger': np.float64(0.0029868154705036433)}"
254,"{'disgust': np.float64(0.03015130817890167), 'fear': np.float64(0.023033459186553955), 'happy': np.float64(0.002445888100191951), 'neutral': np.float64(0.045042353570461276), 'sad': np.float64(0.012744865668937566), 'surprise': np.float64(0.40654356479644777), 'anger': np.float64(0.0029303642932791267)}"
255,"{'disgust': np.float64(0.03715008914470673), 'fear': np.float64(0.02426373615860939), 'happy': np.float64(0.0023856760002672673), 'neutral': np.float64(0.04366128534078598), 'sad': np.float64(0.014943592632189395), 'surprise': np.float64(0.4023916244506836), 'anger': np.float64(0.0032540542143397037)}"
256,"{'disgust': np.float64(0.040881150364875794), 'fear': np.float64(0.02485425598919392), 'happy': np.float64(0.0022348847705870867), 'neutral': np.float64(0.04784890025854111), 'sad': np.float64(0.01573225730098784), 'surprise': np.float64(0.3943237245082855), 'anger': np.float64(0.0035499861848074946)}"
257,"{'disgust': np.float64(0.043316173851490024), 'fear': np.float64(0.02406539484858513), 'happy': np.float64(0.002304703323170543), 'neutral': np.float64(0.05837019473314285), 'sad': np.float64(0.015965675748884682), 'surprise': np.float64(0.3797561526298523), 'anger': np.float64(0.0038403718196786943)}"
258,"{'disgust': np.float64(0.0509502124786377), 'fear': np.float64(0.015179028064012525), 'happy': np.float64(0.0026125763077288868), 'neutral': np.float64(0.07370949029922486), 'sad': np.float64(0.015090007409453394), 'surprise': np.float64(0.35955026745796204), 'anger': np.float64(0.004170818745624274)}"
259,"{'disgust': np.float64(0.044267086088657384), 'fear': np.float64(0.013241602778434752), 'happy': np.float64(0.0023199338931590317), 'neutral': np.float64(0.06809369683265687), 'sad': np.float64(0.0121930163865909), 'surprise': np.float64(0.37319021224975585), 'anger': np.float64(0.004006362240761519)}"
260,"{'disgust': np.float64(0.03426978260278702), 'fear': np.float64(0.012203473225235939), 'happy': np.float64(0.002020636049564928), 'neutral': np.float64(0.058972980231046676), 'sad': np.float64(0.008455932652577759), 'surprise': np.float64(0.39333386421203614), 'anger': np.float64(0.0036101099697407337)}"
261,"{'disgust': np.float64(0.031686136424541475), 'fear': np.float64(0.009639559127390385), 'happy': np.float64(0.0020256514078937473), 'neutral': np.float64(0.05047883823513984), 'sad': np.float64(0.006210083942860366), 'surprise': np.float64(0.40765153169631957), 'anger': np.float64(0.0036033063021022826)}"
262,"{'disgust': np.float64(0.04836863845586777), 'fear': np.float64(0.009736228175461291), 'happy': np.float64(0.002030862111132592), 'neutral': np.float64(0.03429938480257989), 'sad': np.float64(0.0057790371961891655), 'surprise': np.float64(0.41739300489425657), 'anger': np.float64(0.004884986052056775)}"
263,"{'disgust': np.float64(0.06381733864545822), 'fear': np.float64(0.012619493789970876), 'happy': np.float64(0.001570707221981138), 'neutral': np.float64(0.01743634432554245), 'sad': np.float64(0.004478599661961198), 'surprise': np.float64(0.428410404920578), 'anger': np.float64(0.006471361889271066)}"
264,"{'disgust': np.float64(0.14986984908580783), 'fear': np.float64(0.016277723573148252), 'happy': np.float64(0.0015612174640409649), 'neutral': np.float64(0.009019367657601833), 'sad': np.float64(0.005112020852975548), 'surprise': np.float64(0.3825161188840866), 'anger': np.float64(0.011617333659669386)}"
265,"{'disgust': np.float64(0.28689245641231537), 'fear': np.float64(0.014819545224308967), 'happy': np.float64(0.0017065819352865218), 'neutral': np.float64(0.007439654357731343), 'sad': np.float64(0.005031052706763149), 'surprise': np.float64(0.29833400025963785), 'anger': np.float64(0.01792054882505909)}"
266,"{'disgust': np.float64(0.42820807695388796), 'fear': np.float64(0.014913700819015505), 'happy': np.float64(0.0015628487803041936), 'neutral': np.float64(0.0031507683917880057), 'sad': np.float64(0.004714925154112279), 'surprise': np.float64(0.21424862407147885), 'anger': np.float64(0.026429599500261247)}"
267,"{'disgust': np.float64(0.5543474078178405), 'fear': np.float64(0.014477889128029348), 'happy': np.float64(0.0013868757523596287), 'neutral': np.float64(0.001766204489395022), 'sad': np.float64(0.004021334555000066), 'surprise': np.float64(0.13577589392662048), 'anger': np.float64(0.03907249253243208)}"
268,"{'disgust': np.float64(0.6766932964324951), 'fear': np.float64(0.011655361689627169), 'happy': np.float64(0.001506350841373205), 'neutral': np.float64(0.0013477227743715048), 'sad': np.float64(0.003523640106432141), 'surprise': np.float64(0.05903850328177214), 'anger': np.float64(0.051950590237975124)}"
269,"{'disgust': np.float64(0.7377780532836914), 'fear': np.float64(0.007979893684387205), 'happy': np.float64(0.0014614782761782409), 'neutral': np.float64(0.0009026634972542526), 'sad': np.float64(0.0026002546073868875), 'surprise': np.float64(0.022586774453520773), 'anger': np.float64(0.057072510011494174)}"
270,"{'disgust': np.float64(0.7479249858856202), 'fear': np.float64(0.007936151437461377), 'happy': np.float64(0.0013030264643020927), 'neutral': np.float64(0.0007249824423342944), 'sad': np.float64(0.002344479276798666), 'surprise': np.float64(0.01644360423088074), 'anger': np.float64(0.05903401728719473)}"
271,"{'disgust': np.float64(0.7048815441131593), 'fear': np.float64(0.010113090500235558), 'happy': np.float64(0.0014382605557329952), 'neutral': np.float64(0.0013884767610579732), 'sad': np.float64(0.002600895711220801), 'surprise': np.float64(0.04050036184489727), 'anger': np.float64(0.064348508939147)}"
272,"{'disgust': np.float64(0.6851982116699219), 'fear': np.float64(0.011513395048677922), 'happy': np.float64(0.001440526999067515), 'neutral': np.float64(0.0016256525926291944), 'sad': np.float64(0.002820433052256704), 'surprise': np.float64(0.05201920941472053), 'anger': np.float64(0.06311626810580492)}"
273,"{'disgust': np.float64(0.6410122966766358), 'fear': np.float64(0.012539515234529975), 'happy': np.float64(0.001495364063885063), 'neutral': np.float64(0.0020284654386341573), 'sad': np.float64(0.0030161867523565895), 'surprise': np.float64(0.07866575364023447), 'anger': np.float64(0.06246391631662847)}"
274,"{'disgust': np.float64(0.5809478187561036), 'fear': np.float64(0.020340585932135582), 'happy': np.float64(0.0014717206708155573), 'neutral': np.float64(0.002282178308814764), 'sad': np.float64(0.0033731042547151453), 'surprise': np.float64(0.11086512915790081), 'anger': np.float64(0.07259930714964867)}"
275,"{'disgust': np.float64(0.49383884906768805), 'fear': np.float64(0.024801080301404), 'happy': np.float64(0.001555633172392845), 'neutral': np.float64(0.003077599965035916), 'sad': np.float64(0.0037480425834655767), 'surprise': np.float64(0.16135914325714112), 'anger': np.float64(0.0778193236514926)}"
276,"{'disgust': np.float64(0.4596430110931397), 'fear': np.float64(0.031208252012729643), 'happy': np.float64(0.0012844112468883395), 'neutral': np.float64(0.002905750535428524), 'sad': np.float64(0.003995530535466969), 'surprise': np.float64(0.1801672101020813), 'anger': np.float64(0.07948228400200606)}"
277,"{'disgust': np.float64(0.43011821746826173), 'fear': np.float64(0.0375846728682518), 'happy': np.float64(0.0011538940016180277), 'neutral': np.float64(0.0028661763668060307), 'sad': np.float64(0.004123685481026769), 'surprise': np.float64(0.19471060931682588), 'anger': np.float64(0.08800412315875292)}"
278,"{'disgust': np.float64(0.4000279569625855), 'fear': np.float64(0.047860814183950426), 'happy': np.float64(0.0009629774955101311), 'neutral': np.float64(0.0026224795728921895), 'sad': np.float64(0.004336361791938544), 'surprise': np.float64(0.20910122990608215), 'anger': np.float64(0.09130825664848088)}"
279,"{'disgust': np.float64(0.42477432727813724), 'fear': np.float64(0.051444622725248336), 'happy': np.float64(0.0008764916798099876), 'neutral': np.float64(0.002474728040397168), 'sad': np.float64(0.00450354021973908), 'surprise': np.float64(0.19347731173038482), 'anger': np.float64(0.0842363491281867)}"
280,"{'disgust': np.float64(0.4287323141098023), 'fear': np.float64(0.05232705160975456), 'happy': np.float64(0.0008313767844811082), 'neutral': np.float64(0.0026919811591506007), 'sad': np.float64(0.004902077172882855), 'surprise': np.float64(0.18931561410427095), 'anger': np.float64(0.0898949345946312)}"
281,"{'disgust': np.float64(0.44347797393798827), 'fear': np.float64(0.05377036884427071), 'happy': np.float64(0.0007765696616843342), 'neutral': np.float64(0.0024323634803295135), 'sad': np.float64(0.0050398624548688535), 'surprise': np.float64(0.17888733446598054), 'anger': np.float64(0.09564581833779813)}"
282,"{'disgust': np.float64(0.4432776165008545), 'fear': np.float64(0.05504031255841255), 'happy': np.float64(0.0007577529875561595), 'neutral': np.float64(0.002583167850971222), 'sad': np.float64(0.0056387331895530225), 'surprise': np.float64(0.17841425836086272), 'anger': np.float64(0.09333484262228013)}"
283,"{'disgust': np.float64(0.4280844831466675), 'fear': np.float64(0.05458871260285377), 'happy': np.float64(0.0007631548680365086), 'neutral': np.float64(0.003068273514509201), 'sad': np.float64(0.005577349187806249), 'surprise': np.float64(0.18783935010433198), 'anger': np.float64(0.09131923340260983)}"
284,"{'disgust': np.float64(0.4266872072219849), 'fear': np.float64(0.04886106401681901), 'happy': np.float64(0.0007856474490836263), 'neutral': np.float64(0.0031296551972627646), 'sad': np.float64(0.005312410364858807), 'surprise': np.float64(0.19049571454524994), 'anger': np.float64(0.09519214060157538)}"
285,"{'disgust': np.float64(0.46068037033081055), 'fear': np.float64(0.05237576320767403), 'happy': np.float64(0.0007170240627601743), 'neutral': np.float64(0.0022548521868884564), 'sad': np.float64(0.004925676207058133), 'surprise': np.float64(0.16920280754566192), 'anger': np.float64(0.09470012910664082)}"
286,"{'disgust': np.float64(0.49124733924865716), 'fear': np.float64(0.04601895242929459), 'happy': np.float64(0.0007708377554081381), 'neutral': np.float64(0.0026342343725264073), 'sad': np.float64(0.00519313411321491), 'surprise': np.float64(0.15221634060144423), 'anger': np.float64(0.09396328575909138)}"
287,"{'disgust': np.float64(0.5177872276306152), 'fear': np.float64(0.04331849187612533), 'happy': np.float64(0.0007406469900161028), 'neutral': np.float64(0.0026130277849733827), 'sad': np.float64(0.004923470658250153), 'surprise': np.float64(0.1375042289495468), 'anger': np.float64(0.09042392637580633)}"
288,"{'disgust': np.float64(0.5914770126342773), 'fear': np.float64(0.03364355497062206), 'happy': np.float64(0.000801366672385484), 'neutral': np.float64(0.002452649045735598), 'sad': np.float64(0.005110535700805485), 'surprise': np.float64(0.09551125839352607), 'anger': np.float64(0.09056535616517067)}"
289,"{'disgust': np.float64(0.6042518615722656), 'fear': np.float64(0.0311188555508852), 'happy': np.float64(0.0007902617566287517), 'neutral': np.float64(0.0024774550646543504), 'sad': np.float64(0.00549452867358923), 'surprise': np.float64(0.08889450356364251), 'anger': np.float64(0.08740326453000308)}"
290,"{'disgust': np.float64(0.5998356342315674), 'fear': np.float64(0.029908551648259164), 'happy': np.float64(0.0007870545843616128), 'neutral': np.float64(0.002709819879382849), 'sad': np.float64(0.005794484131038189), 'surprise': np.float64(0.09137404486536979), 'anger': np.float64(0.08964321181178095)}"
