Category,emo_anger,emo_disgust,emo_fear,emo_joy,emo_sadness,emo_surprise
laundry service,0.13587100823094933,0.11238504429264524,0.135774457505612,0.3147312269183422,0.17157063892442492,0.12966762412802627
gift shop,0.1033413426981291,0.07089314685889142,0.09342205245107099,0.42659109112192717,0.1153143162261516,0.1904380506438297
dim sum restaurant,0.10455513258919931,0.08184398993483451,0.10674882250467772,0.45090005806826244,0.09458674753209885,0.16136524937092717
water park,0.1410513841798611,0.10329503933638369,0.15217749102998782,0.32723262780210016,0.1302873695645018,0.14595608808716548
dive bar,0.10405457213489681,0.08345782160940206,0.10421321206192245,0.42750816334624486,0.12811496106711792,0.1526512697804159
gluten-free restaurant,0.08712136678352067,0.07204895035552004,0.09590583239519596,0.4708088591277364,0.10196046407176897,0.17215452726625796
tanning salon,0.11283691738834291,0.08899727546949499,0.1185657292984334,0.3840979857935195,0.14332976549576726,0.15217232655444196
fish & chips shop,0.09643598615916955,0.08152249134948097,0.10633217993079584,0.4483737024221453,0.09847750865051903,0.16885813148788928
airport lounge,0.1184389764987421,0.09533042891329692,0.18612014481192857,0.29308461680063813,0.18189850892802356,0.12512732404737067
butcher,0.10621564037141279,0.09185364442223216,0.09440513454507195,0.4445379698555909,0.09014388299971066,0.17284372780598153
campground,0.12019386106623586,0.09751211631663974,0.12303715670436187,0.35722132471728596,0.14474959612277868,0.1572859450726979
bookstore,0.09660201201418542,0.07268220308315843,0.09070348121878845,0.4274987334443077,0.13204747774480713,0.18046609249475284
bed & breakfast,0.08854620865681166,0.06785068595129214,0.08697224290120174,0.4507284909071573,0.13402105710943316,0.171881314474104
bowling alley,0.11600519996941194,0.08427009252886748,0.109734648619714,0.40999464709031125,0.12877571308404068,0.15121969870765467
martial arts dojo,0.15815661651463098,0.06628361568534534,0.14737590332898945,0.3616277692216562,0.1310271294870276,0.13552896576235043
karaoke bar,0.1042467378410439,0.07814946619217082,0.09921708185053381,0.4354922894424674,0.13281138790035588,0.15008303677342824
airport,0.120800302000755,0.08402541839687933,0.14678495029570907,0.2907701019252548,0.18079149364540079,0.176827733736001
taxi,0.1450367011260136,0.09757503554821106,0.16329118788670688,0.2580992275469813,0.1822758541178279,0.15372199377425924
train station,0.14515986963798114,0.0979476790275698,0.1508852285739452,0.29842332423148066,0.1616312868845239,0.14595261164449924
indonesian restaurant,0.08172273920305416,0.05702696253877356,0.10391314722023383,0.5246957766642806,0.07874015748031496,0.15390121689334288
falafel restaurant,0.08669944193462663,0.07135264416688812,0.09619984055275047,0.4901674196120117,0.09101780494286474,0.16456284879085836
turkish restaurant,0.0736726070181885,0.06375160756935513,0.08837038397942311,0.5203013044277053,0.09241227264376263,0.1614918243615653
electronics store,0.1480064461525976,0.10506301230102141,0.14847019813803577,0.27512086536120484,0.17404612013495183,0.14929335791218856
comedy club,0.11751116587093793,0.08362852302479594,0.10634529493300478,0.3846450023101802,0.12921607885415062,0.17865393500693055
playground,0.09574468085106383,0.06039567002612915,0.11369914147069803,0.43139231056364313,0.11108622620380738,0.18768197088465846
college & university,0.12677983773744747,0.09419699586197908,0.1693004463849337,0.2921703430973249,0.17721807696067252,0.1403342999576423
laboratory,0.12695867314212408,0.1161458810592871,0.19870796297993218,0.23682763676349308,0.18784935398148997,0.1335104920736736
lingerie store,0.10218281036834925,0.0873806275579809,0.10102319236016372,0.4107094133697135,0.12837653478854025,0.17032742155525238
animal shelter,0.10945031403671064,0.09562296119577389,0.1519061298018404,0.3285943814207118,0.16685330347144456,0.14757291007351866
drugstore / pharmacy,0.13808366603020308,0.1095729908002083,0.15930394028814443,0.2885349765665683,0.1659868078458601,0.1385176184690158
elementary school,0.09804078368652538,0.07500999600159935,0.11243502598960416,0.44470211915233904,0.1296281487405038,0.14018392642942823
dance studio,0.0791628753412193,0.05029365538919679,0.09471420299445778,0.5132765323848126,0.10877657374472662,0.1537761601455869
mongolian restaurant,0.12077131258457374,0.08930987821380243,0.09607577807848444,0.44299729364005414,0.10216508795669824,0.14868064952638702
pool,0.1444753642167294,0.09736454411523982,0.13897528237027337,0.3084956621378294,0.1563922082173842,0.1542969389425438
non-profit,0.10216050423000438,0.07489298594492567,0.12275439010414911,0.3841720314132596,0.14243823519498466,0.17358185311267654
climbing gym,0.11952888747413656,0.07822696164252746,0.1320229189877447,0.3815852299856756,0.13234123826197677,0.15629476364793887
assisted living,0.10354552780016116,0.08400483481063659,0.17626913779210315,0.30036261079774373,0.22058823529411764,0.11522965350523771
video game store,0.13002246069378587,0.09433491390067382,0.11879211380084852,0.3438981781881707,0.14724232592962316,0.16571000748689793
festival,0.08487037824054398,0.05359116022099448,0.11211219719507012,0.4426264343391415,0.1114747131321717,0.1953251168720782
filipino restaurant,0.07759807295251205,0.07579146593255334,0.11286992429456297,0.4811596696490021,0.08327598072952512,0.16930488644184447
flea market,0.09812961011591148,0.15187038988408852,0.09128029504741833,0.3805321390937829,0.11498946259220232,0.16319810326659642
radio station,0.10266245487364621,0.08100180505415162,0.1062725631768953,0.3583032490974729,0.2157039711191336,0.13605595667870035
skating rink,0.12358086729946026,0.08728829331844407,0.1269929896395558,0.3752714188225076,0.13977293876791363,0.14709349215211862
school,0.12840158520475561,0.08612945838837517,0.1418758256274769,0.35191545574636723,0.1463672391017173,0.1453104359313078
internet cafe,0.08932555345804016,0.05980779131628625,0.08718036725587781,0.47914879011498196,0.1000514844688519,0.1844860133859619
strip club,0.12176046618616776,0.08388284005520626,0.164852016561877,0.315595767520319,0.1608648980217758,0.1530440116546542
church,0.07471700980019752,0.0538631011167667,0.10571298336245537,0.5214236876092077,0.11133480209678645,0.13294841601458635
mountain,0.07975009187798604,0.050716648291069456,0.10694597574421169,0.4520396912899669,0.10951855935317897,0.2010290334435869
racetrack,0.15340151178301467,0.08048021342819031,0.13961760782570032,0.3468208092485549,0.11027123165851489,0.1694086260560249
arcade,0.126115428900403,0.08131836499712147,0.1242803684513529,0.38575849165227405,0.12780656303972365,0.15472078295912492
adult boutique,0.11222205640949112,0.10058200268616624,0.1087897328756902,0.39322489180719294,0.1308759886584092,0.1543053275630503
basketball court,0.10802919708029197,0.06715328467153285,0.13722627737226278,0.4131386861313869,0.0948905109489051,0.17956204379562044
hostel,0.11494567698347485,0.10508536474025382,0.11987583310508536,0.3699443074956633,0.1530174381448005,0.13713137953072219
aquarium,0.11097124043768762,0.08705335528226978,0.12118717923888835,0.39367676963300086,0.11537716665052775,0.17173428875762564
restaurant,0.12226512226512226,0.08494208494208494,0.1402831402831403,0.3732303732303732,0.13384813384813385,0.14543114543114544
piano bar,0.10842696629213483,0.09101123595505618,0.10168539325842697,0.39410112359550564,0.15196629213483145,0.15280898876404495
beach,0.09084967320261438,0.056862745098039215,0.09411764705882353,0.515686274509804,0.09869281045751634,0.1437908496732026
tennis,0.12738122561395457,0.09042919439981639,0.142299747532706,0.35643791599724584,0.13908652742712876,0.1443653890291485
public art,0.08098159509202454,0.0705521472392638,0.09631901840490797,0.3932515337423313,0.15460122699386503,0.20429447852760735
university,0.17445866141732283,0.1423228346456693,0.16500984251968503,0.21697834645669292,0.18966535433070866,0.11156496062992126
paintball field,0.15431560592850915,0.06538796861377506,0.1737866899157222,0.3167683812845103,0.12554489973844812,0.16419645451903517
rock climbing spot,0.10865874363327674,0.0710243350311262,0.1307300509337861,0.4074702886247878,0.1273344651952462,0.154782116581777
soccer field,0.1364744110479285,0.08448415922014622,0.1445978878960195,0.3411860276198213,0.1429731925264013,0.1502843216896832
lake,0.08961845607808341,0.07542147293700088,0.12067435669920142,0.41171251109139306,0.10825199645075421,0.19432120674356698
travel agency,0.1242344706911636,0.0831146106736658,0.1242344706911636,0.2952755905511811,0.14698162729658792,0.22615923009623798
airport terminal,0.13273453093812376,0.11776447105788423,0.20359281437125748,0.22355289421157684,0.1996007984031936,0.12275449101796407
well,0.12548015364916773,0.10243277848911651,0.17285531370038412,0.26504481434058896,0.20742637644046094,0.1267605633802817
train,0.13446676970633695,0.09273570324574962,0.15146831530139104,0.2990726429675425,0.1831530139103555,0.1391035548686244
farm,0.1106541064083853,0.0800053071513865,0.10362213082128167,0.41475388085445136,0.11649197293352793,0.17447260183096722
